query_id,query,model,time,temp_label,rain_label,wind_label,decision
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-18 21:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-18 22:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-18 23:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-19 00:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-19 01:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,AIFS,2026-05-19 02:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-18 21:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-18 22:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-18 23:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-19 00:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-19 01:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q5,komfort termiczny,AIFS,2026-05-19 02:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 07:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 08:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 09:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 10:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 11:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
Q1,dobre okno na aktywnosc zewnetrzna,GraphCast,2026-05-20 12:00:00,chlodno,brak_opadu,lekki_wiatr,dobre
