metric,source,weight
temp,aifs,0.1665817501879385
temp,graphcast,0.03558016959096753
temp,open_meteo,0.45
temp,yr_no,0.1423861809189179
temp,gfs,0.20545189930217614
opady,aifs,0.20108878869939212
opady,graphcast,0.014795973913218885
opady,open_meteo,0.26527961313450255
opady,yr_no,0.26527961313450255
opady,gfs,0.25355601111838394
wiatr,aifs,0.1268452567477468
wiatr,graphcast,0.011537427625670704
wiatr,open_meteo,0.45
wiatr,yr_no,0.15796233673220875
wiatr,gfs,0.25365497889437383
