time,temp
2026-05-18 21:00:00,13.346946959791548
2026-05-18 22:00:00,12.958246981374371
2026-05-18 23:00:00,12.3933532370933
2026-05-19 00:00:00,11.87177584284982
2026-05-19 01:00:00,11.684869450654013
2026-05-19 02:00:00,11.478475547784868
2026-05-19 03:00:00,11.434091423114989
2026-05-19 04:00:00,11.510252488375324
2026-05-19 05:00:00,11.727855536676563
2026-05-19 06:00:00,11.967262266574586
2026-05-19 07:00:00,12.461517530297392
2026-05-19 08:00:00,13.106189123003348
2026-05-19 09:00:00,13.888167466661768
2026-05-19 10:00:00,14.615484228243496
2026-05-19 11:00:00,15.670794301507708
2026-05-19 12:00:00,16.845155365711292
2026-05-19 13:00:00,17.539061440730947
2026-05-19 14:00:00,17.813548275999853
2026-05-19 15:00:00,17.886306250850062
2026-05-19 16:00:00,17.929567295055957
2026-05-19 17:00:00,17.46874118734517
2026-05-19 18:00:00,16.570076999413292
2026-05-19 19:00:00,15.499028824873543
2026-05-19 20:00:00,15.04350255963144
2026-05-19 21:00:00,14.356647117322867
2026-05-19 22:00:00,13.753133499995503
2026-05-19 23:00:00,13.348697614613835
2026-05-20 00:00:00,13.096655811215449
2026-05-20 01:00:00,12.831111296689661
2026-05-20 02:00:00,12.650347720470506
2026-05-20 03:00:00,12.501867614571246
2026-05-20 04:00:00,12.890768405398111
2026-05-20 05:00:00,13.873884533684294
2026-05-20 06:00:00,15.384148721087795
2026-05-20 07:00:00,16.90535778177374
2026-05-20 08:00:00,18.321318625282675
2026-05-20 09:00:00,19.398064131332283
2026-05-20 10:00:00,20.078616546922436
2026-05-20 11:00:00,21.187910470846028
2026-05-20 12:00:00,21.375929848130404
2026-05-20 13:00:00,21.918246019053854
2026-05-20 14:00:00,22.12349423623087
2026-05-20 15:00:00,21.85370033283335
2026-05-20 16:00:00,21.17419330681362
2026-05-20 17:00:00,20.597000037240015
2026-05-20 18:00:00,19.649116746562644
2026-05-20 19:00:00,18.262384425770186
2026-05-20 20:00:00,17.334422548628545
2026-05-20 21:00:00,16.615131494420435
2026-05-20 22:00:00,15.877385809256687
2026-05-20 23:00:00,15.149094934162715
