time,wiatr
2026-05-18 22:00:00,1.8
2026-05-18 23:00:00,1.72
2026-05-19 00:00:00,2.5933333333333333
2026-05-19 01:00:00,2.4325
2026-05-19 02:00:00,2.59
2026-05-19 03:00:00,2.78
2026-05-19 04:00:00,2.336666666666667
2026-05-19 05:00:00,2.09
2026-05-19 06:00:00,2.4749999999999996
2026-05-19 07:00:00,2.3016666666666663
2026-05-19 08:00:00,1.9783333333333335
2026-05-19 09:00:00,1.5933333333333333
2026-05-19 10:00:00,1.7766666666666668
2026-05-19 11:00:00,1.99
2026-05-19 12:00:00,1.6216666666666666
2026-05-19 13:00:00,1.435
2026-05-19 14:00:00,1.1316666666666666
2026-05-19 15:00:00,1.0033333333333334
2026-05-19 16:00:00,1.8083333333333333
2026-05-19 17:00:00,1.4883333333333333
2026-05-19 18:00:00,1.7633333333333334
2026-05-19 19:00:00,1.9566666666666668
2026-05-19 20:00:00,1.7483333333333335
2026-05-19 21:00:00,2.038333333333333
2026-05-19 22:00:00,2.54
2026-05-19 23:00:00,2.026666666666667
2026-05-20 00:00:00,2.0083333333333333
2026-05-20 01:00:00,1.9866666666666666
2026-05-20 02:00:00,1.93
2026-05-20 03:00:00,1.5683333333333334
2026-05-20 04:00:00,1.6283333333333334
2026-05-20 05:00:00,1.5933333333333333
2026-05-20 06:00:00,1.4649999999999999
2026-05-20 07:00:00,1.865
2026-05-20 08:00:00,2.1933333333333334
2026-05-20 09:00:00,2.2383333333333333
2026-05-20 10:00:00,1.9933333333333332
2026-05-20 11:00:00,1.0883333333333332
2026-05-20 12:00:00,1.5616666666666665
2026-05-20 13:00:00,2.0266666666666664
2026-05-20 14:00:00,1.8266666666666669
2026-05-20 15:00:00,1.9816666666666667
2026-05-20 16:00:00,2.025
2026-05-20 17:00:00,2.293333333333333
2026-05-20 18:00:00,2.6333333333333333
2026-05-20 19:00:00,1.9233333333333333
2026-05-20 20:00:00,1.2783333333333333
2026-05-20 21:00:00,1.07
2026-05-20 22:00:00,0.6833333333333333
2026-05-20 23:00:00,0.8266666666666667
